Communication Management	Social Obligations Management	Task Management	Feedback Management-value	Feedback Management	Sentiment Management	Sentiment Management-value	Opinion Management	Opinion Management-value	Emotion Management	Emotion Management-value	Knowledge Management	Discourse Structure Management	Partiality	Conditionality	Certainty	Irony	datetime	participant	segment	raw
																	nov. 01 2014 18:58	lyntoo	ok	ok
																	nov. 01 2014 19:03	alcidi	c'est ce qui mas mis dans le doute , moi j'ai updaté ubuntu pas réinstaller depuis le début , j'peux pas te certifier ,	c'est ce qui mas mis dans le doute, moi j'ai updaté  ubuntu pas réinstaller depuis le début, j'peux pas te certifier, faudrais voir les packages par défaut d'ubuntu
																	 	\	faudrais voir les packages par défaut d'ubuntu	
																	nov. 01 2014 19:05	alcidi	bonjour	bonjour mon imprimante se connecte en dev/usb/lp1 et je voudrais la voir en dev/usb/lp0 pour qu'elle soit mieux reconnue, existe-t-il une solution pour cela ?
		inform							inform	love		introduceTopic					 	\	mon imprimante se connecte en dev/usb/lp1 et je voudrais la voir en dev/usb/lp0 pour qu'elle soit mieux reconnue ,	
																	 	\	existe-t-il une solution pour cela ?	
									inform	love							 	\	ou éventuellement je voudrais savoir quel matériel occupe le port lp0	ou éventuellement je voudrais savoir quel matériel occupe le port lp0
															uncertain		nov. 01 2014 19:05	alcidi	il ya surement une commande pour ça	il ya surement une commande pour ça
																	nov. 01 2014 19:07	tobiasBora	d'acc .	d'acc. J'ai quand même peur de changer tout le système de son de mon ordi, d'autant qu'il fonctionnait bien
																	 	\	J'ai quand même peur de changer tout le système de son de mon ordi , d'autant qu'il fonctionnait bien	
																	nov. 01 2014 19:09	lyntoo	c'est toi qui vois ,	c'est toi qui vois, moi j'utlises alsa depuis des lunes je trouves que c'est le meilleur mais bon ....c'est a mon avis, et oui des fois ca peut causer quelques soucis faire des changements sous linux
																	 	\	moi j'utlises alsa depuis des lunes je trouves que c'est le meilleur mais bon ....c'est a mon avis ,	
																	 	\	et oui des fois ca peut causer quelques soucis faire des changements sous linux	
																	nov. 01 2014 19:55	Pedro	Bonsoir tout le monde	Bonsoir tout le monde
																	nov. 01 2014 19:55	davlefou	tu es là ?	tu es là?
																	nov. 01 2014 19:57	davlefou	Bonsoir ,	Bonsoir,
																	nov. 01 2014 20:01	SAmp	Davlefou oui	Davlefou oui
																	nov. 01 2014 20:04	samp_	je suis la	je suis la
																	nov. 01 2014 20:04	dadada___	hello hello	hello hello
																	nov. 01 2014 20:07	davlefou	Désolé ,	Désolé, le repas est prés, donne mois 20 minutes
																	 	\	le repas est prés , donne mois 20 minutes	
																	nov. 01 2014 20:07	samp_	ok ok meme 30 stu veux	ok ok meme 30 stu veux
																	nov. 01 2014 20:30	davlefou	go	go
																	nov. 01 2014 20:31	samp_	ouep	ouep
		requestForInformation															nov. 01 2014 20:31	davlefou	Explique ton pb ?	Explique ton pb?
			perception	requestForInformation													nov. 01 2014 20:34	davlefou	?	?
			perception	answerPositively													nov. 01 2014 20:34	samp_	oui	oui
												inform					nov. 01 2014 20:34	samp_	je t'ai ecris en pv	je t'ai ecris en pv
			perception	requestForInformation													nov. 01 2014 20:34	samp_	tu ne vois pas ?	tu ne vois pas ?
																	nov. 01 2014 21:05	davlefou	Comment faire que le manager arrête de me demander de reboot ?	Comment faire que le manager arrête de me demander de reboot?
									inform	anger							nov. 01 2014 21:06	davlefou	Cela m'horripile ua plus au point !	Cela m'horripile ua plus au point!
																	nov. 01 2014 21:08	flo|va-nu-pied	reboot ?	reboot ?
																	nov. 01 2014 21:09	davlefou	non , ca va pas! 21:09 (davlefou)>+ j'ai pas le temps !	non, ca va pas! j'ai pas le temps!
																	nov. 01 2014 21:10	flo|va-nu-pied	alors acceptes :)	alors acceptes :) sinon doit y avoir moyen de stopper le manager de mes souvenirs
		requestForAction													uncertain		 	\	sinon doit y avoir moyen de stopper le manager de mes souvenirs	
		answerByRequestForAction															nov. 01 2014 21:15	Ezael	davlefou : 21:15 (Ezael)>+ sur askbuntu.com , pour un problème similaire , une des réponses suggère de faire un ls / var/run/reboot-required et de le supprimer s'il existe .	davlefou : sur askbuntu.com, pour un problème similaire, une des réponses suggère de faire un ls /var/run/reboot-required et de le supprimer s'il existe.
																	 	\	merci ,	
		commit															nov. 01 2014 21:16	davlefou	je vais voir	merci, je vais voir
																	nov. 01 2014 23:56	learner	Hi	Hi
																	nov. 02 2014 00:08	Dae-	Bonsoir à tous	Bonsoir à tous (Lubuntu 14.04 On HP) je cherche un utilitaire pour Permutation automatique sortie son des que le PC detecte une sortie Jack ou usb
									inform	love							 	\	( Lubuntu 14.04 On HP ) je cherche un utilitaire pour Permutation automatique sortie son des que le PC detecte une sortie Jack ou usb	
	anticipateThanking																nov. 02 2014 00:09	Dae-	d'avance merci	d'avance merci
																	nov. 02 2014 00:23	Dae-	mezen ?	mezen ?
																	nov. 02 2014 00:24	Dae-	gniourf ?	gniourf ? piti  ?
																	 	\	piti ?	
																	nov. 02 2014 00:24	Dae-	vous dormez les gars ?	vous dormez les gars ?
																	nov. 02 2014 00:25	kD|	Moi je suis la	Moi je suis la, si jamais t'a envie de te faire une belote, fait signe
		commit												conditional			 	\	si jamais t' a envie de te faire une belote , fait signe	
																	nov. 02 2014 00:26	SurcouF	il faut être quatre pour une belote	il faut être quatre pour une belote
																	nov. 02 2014 00:26	kD|	bah voila on est deja trois	bah voila on est deja trois
																	nov. 02 2014 00:26	SurcouF	trois , tu peux faire un tarot	trois, tu peux faire un tarot
																	nov. 02 2014 00:28	kD|	sinon on se fait un poker	sinon on se fait un poker
		commit							inform	happy				conditional			nov. 02 2014 00:31	Dae-	si tu veux vraiment faire un jeu je cherche deux compagnon pour terminé nox je bloqué au lvl 6 depuis un mois : D	si tu veux vraiment faire un jeu je cherche deux compagnon pour terminé nox je bloqué au lvl 6 depuis un mois :D
																	nov. 02 2014 00:31	The_Glace	a quellequ'un	a quellequ'un
		requestForInformation							inform	disgust							nov. 02 2014 00:32	Dae-	sinon se serais cool si quelqu'un aurrais une idée pour que le switch se fasse tout seul sansq ue ' jai besoin d'ouvrir alsamixer et de faire les modif en manuel	sinon se serais cool si quelqu'un aurrais une idée pour que le switch se fasse tout seul sansq ue 'jai besoin d'ouvrir alsamixer et de faire les modif en manuel
																	nov. 02 2014 00:32	The_Glace	bonjour	bonjour je voudrais savoir comment on desinstalle un progremme
									inform	love		introduceTopic					 	\	je voudrais savoir comment on desinstalle un progremme	
																	nov. 02 2014 00:32	Dae-	salut	salut
																	nov. 02 2014 00:32	The_Glace	programme *	programme*
																	nov. 02 2014 00:33	Dae-	sudo apt-get remove <name> && sudo apt-get autoclean && sudo apt-get autoremove	sudo apt-get remove <name> && sudo apt-get autoclean && sudo apt-get autoremove
																	nov. 02 2014 00:33	The_Glace	mais moi apres faut je mette mon mdp mais je peux rien fair	mais moi apres faut je mette mon mdp mais je peux rien fair
		answer															nov. 02 2014 00:34	kD|	The_Glace c' est normal que ca n'écrit rien pour le mdp	The_Glace c'est normal que ca n'écrit rien pour le mdp
																	nov. 02 2014 00:34	Dae-	pourquoi donc ?	pourquoi donc ? tu n'a pas ton mdp root ?
																	 	\	tu n'a pas ton mdp root ?	
																	nov. 02 2014 00:34	The_Glace	pk	pk
																	nov. 02 2014 00:34	Dae-	protection	protection
																	nov. 02 2014 00:34	Dae-	sa tappe en invisible	sa tappe en invisible
																	nov. 02 2014 00:34	The_Glace	ben ses le mdp duutilisateur	ben ses le mdp duutilisateur
																	nov. 02 2014 00:35	The_Glace	apres quand j' ai rentre mdp je fais entre puis apres	apres quand j'ai rentre mdp je fais entre puis apres
																	nov. 02 2014 00:35	Dae-	tu trouvera tous les details sur http://openclassrooms.com/informatique/exportPdf/reprenez-le-controle-a-l-aide-de-linux	tu trouvera tous les details sur http://openclassrooms.com/informatique/exportPdf/reprenez-le-controle-a-l-aide-de-linux
																	nov. 02 2014 00:35	kD|	après tu laisse la magie faire	après tu laisse la magie faire
																	nov. 02 2014 00:36	The_Glace	ok	ok att
																	 	\	att	
																	nov. 02 2014 00:36	Dae-	apres tu fait sudo apt-get remove - y <name> ( name est le nom de ton paquet	apres tu fait sudo apt-get remove -y <name> (name est le nom de ton paquet
																	nov. 02 2014 00:36	Dae-	puis tu fait apt-get update - y && apt-get upgrade - y && apt-get autoclean - y && apt-get autoremove - y && apt-get clean - y	puis tu fait apt-get update -y && apt-get upgrade -y && apt-get autoclean -y && apt-get autoremove -y && apt-get clean -y
																	nov. 02 2014 00:36	Dae-	tu copie colle cela	tu copie colle cela
							inform	promote									nov. 02 2014 00:37	Dae-	mais le plus simple c' est de te faire un alias	mais le plus simple c'est de te faire un alias
		inform															nov. 02 2014 00:37	Dae-	un alias c' est un raccourcis court par exemple tmoi apt-get1 me lance toute la ligne au dessus	un alias c'est un raccourcis court par exemple tmoi apt-get1 me lance toute la ligne au dessus
																	nov. 02 2014 00:37	Dae-	donc plus rapide a faire	donc plus rapide a faire
																	nov. 02 2014 00:37	Dae-	kD | tu connais nox ?	kD| tu connais nox ?
																	nov. 02 2014 00:38	kD|	Dae - du tout	Dae- du tout
																	nov. 02 2014 00:39	The_Glace	quand j' ai fais sudo apt-get remove sunrice je mais mdp je fais quoi le programme ses desinstaller	quand j'ai fais sudo apt-get remove sunrice je mais mdp je fais quoi le programme ses desinstaller
		commit															nov. 02 2014 00:39	Dae-	kD | je te prend en MP pour le ot	kD| je te prend en MP pour le ot
																	nov. 02 2014 00:39	kD|	"The_Glace éssaye la commande "" sudo shutdown - P now "" pour voir ce que ça dit"	"The_Glace éssaye la commande "" sudo shutdown -P now ""  pour voir ce que ça dit"
																	nov. 02 2014 00:39	Dae-	s'il t' affiche une nouvelles ligne vide oui	s'il t'affiche une nouvelles ligne vide oui
																	nov. 02 2014 00:40	Dae-	d'abord tu fait un update et auto remove	d'abord tu fait un update et auto remove
																	nov. 02 2014 00:41	Dae-	puis tu fait sudo shutdown - r ( et pas P )	puis tu fait sudo shutdown -r (et pas P )
																	nov. 02 2014 00:41	The_Glace	roo ses mon beau-pere qui ma mi ubuntu sur mon ordi pfff depuis je peux plus joue a mon jeux	roo ses mon beau-pere qui ma mi ubuntu sur mon ordi pfff depuis je peux plus joue a mon jeux
																	nov. 02 2014 00:42	Dae-	The_Glace => crossover , playonlinux , wineHQ	The_Glace => crossover , playonlinux, wineHQ
		requestForInformation	evaluation	answerNegatively					inform	unhappy							nov. 02 2014 00:42	The_Glace	:-( sa veux dire	:-( sa veux dire
																	nov. 02 2014 00:43	Dae-	ce sont des nom de d'application a rechercher sur le web	ce sont des nom de d'application a rechercher sur le web
																	nov. 02 2014 00:43	The_Glace	sa fais quoi	sa fais quoi
																	nov. 02 2014 00:43	Dae-	ils permetent d'installer des jeux ou application windows 00:43 (Dae-)> simplement	ils permetent d'installer des jeux ou application windows
																	nov. 02 2014 00:43	Dae-		simplement
																	nov. 02 2014 00:43	Dae-	tu a fait le autoclean ?	tu a fait le autoclean ?
																	nov. 02 2014 00:43	The_Glace	serieux je pourais telecharge exemple minecraft	serieux je pourais telecharge exemple minecraft
																	nov. 02 2014 00:43	The_Glace	oui	oui
																	nov. 02 2014 00:44	Dae-	minecraft est un jeux linux a l' origine	minecraft est un jeux linux a l'origine
							inform	promote									nov. 02 2014 00:44	Dae-	techniquement il tourne bien mieux puisqu'il est natif linux	techniquement il tourne bien mieux puisqu'il est natif linux
																	nov. 02 2014 00:45	Dae-	par contre pour tous se qui est demande d'aide officiel ( ubuntu ou deviante ) il est conseiller de rester dans ce chan et non en private	par contre pour tous se qui est demande d'aide officiel (ubuntu ou deviante) il est conseiller de rester dans ce chan et non en private
																	nov. 02 2014 00:45	The_Glace	mais ses pour tu me dit tout depuis le debut	mais ses pour tu me dit tout depuis le debut
																	nov. 02 2014 00:45	Dae-	pour commencer , tu a quoi comme PC ?	pour commencer, tu a quoi comme PC ? un fixe ou un portable ?
																	 	\	un fixe ou un portable ?	
																	nov. 02 2014 00:45	The_Glace	fixe	fixe
																	nov. 02 2014 00:46	Dae-	dans les outils systems tu doit avoir un outils qui te diras combien tu as de memoire total sur ton disk dur , et de ram	dans les outils systems tu doit avoir un outils qui te diras combien tu as de memoire total sur ton disk dur, et de ram
																	nov. 02 2014 00:47	The_Glace	tu trouve ca ou outil system	tu trouve ca ou outil system
																	nov. 02 2014 00:47	Dae-	dans le menu ...	dans le menu ...
																	nov. 02 2014 00:47	The_Glace	j'ai ubuntu 12.04	j'ai ubuntu 12.04
									inform	disgust							nov. 02 2014 00:48	The_Glace	j'en n'est marre	j'en n'est marre
	wish								inform	happy							nov. 02 2014 00:49	Dae-	courrage = D	courrage =D
												summarize					nov. 02 2014 00:49	Dae-	bon aller on reprend simplement	bon aller on reprend simplement
